"","Galaxy","Type","N_GC","N_GC_err","Mdyn","MBH","sig_e","err_sig_e","A_V","MV_T","err_MV_T","MK","Re","upMBH","lowMBH"
"241","IC3383","E",16,5,9.226,NA,33,9,0.074,-16.78,0.2,"-18.232","1.66",NA,NA
"242","IC3381","E",66,10,9.608,NA,39.1,1.5,0.072,-17.79,0.2,"-20.069","2.85",NA,NA
"243","VCC-1105","E",5,4,NA,NA,NA,NA,0.121,-15.55,0.2,"NA","NA",NA,NA
"244","VCC-1104","E",8,6,NA,NA,NA,NA,0.059,-16.2,0.2,"NA","0.96",NA,NA
"245","VCC-1107","E",25,6,NA,NA,NA,NA,0.057,-16.58,0.2,"NA","NA",NA,NA
"246","NGC4452","S0",52,8,11.295,NA,268.8,28.7,0.095,-19.12,0.2,"-21.906","2.94",NA,NA
"247","NGC4458","E",72,12,10.151,NA,102.7,2.9,0.079,-19.07,0.2,"-21.757","1.44",NA,NA
"248","NGC4459","S0",218,28,10.904,7.84,167,8,0.153,-20.81,0.2,"-23.886","3.09",0.08,0.08
"249","VCC-1167","E",14,9,NA,NA,NA,NA,0.067,-16,0.2,"NA","1.02",NA,NA
"250","NGC4464","S",25,9,9.898,NA,126.9,3.4,0.072,-18.56,0.2,"-21.421","0.53",NA,NA
"251","VCC-1185","E",14,6,NA,NA,NA,NA,0.062,-16.77,0.2,"-17.885","1.52",NA,NA
"252","NGC4472","E",7000,800,12.007,9.26,293.8,2.9,0.074,-22.82,0.2,"-25.768","12.65",0.12,0.18
"253","NGC4473","E",376,97,11.005,7.95,190,9,0.094,-20.81,0.2,"-23.770","3.01",0.19,0.29
"254","NGC4474","S0",116,24,10.176,NA,87.7,4,0.14,-19.59,0.2,"-22.261","2.09",NA,NA
"255","NGC4476","S0",20,7,9.796,NA,59.8,6,0.094,-19.14,0.2,"-21.783","1.88",NA,NA
"256","VCC-1252","E",8,5,NA,NA,NA,NA,0.054,-12.87,0.2,"NA","0.58",NA,NA
"257","VCC-1254","E",26,11,8.929,NA,31.4,1.6,0.061,-16.67,0.2,"-19.323","0.93",NA,NA
"258","NGC4482","E",35,8,9.51,NA,40.3,4.8,0.077,-19.64,0.2,"-20.724","2.14",NA,NA
"259","VCC-1272","E",3,4,NA,NA,NA,NA,0.073,-13.23,0.2,"NA","NA",NA,NA
"260","NGC4478","E",58,11,10.277,NA,137.4,2.4,0.082,-19.79,0.2,"-22.812","1.08",NA,NA
"261","NGC4479","S0",59,9,10.097,NA,83.3,3.7,0.098,-18.86,0.2,"-21.440","1.94",NA,NA
"262","NGC4486B","E",4,11,10.113,0,169.2,3.9,0.07,-17.77,0.2,"-20.977","0.49",9,0
"263","NGC4483","S0",72,18,NA,NA,NA,NA,0.066,-18.96,0.2,"-21.840","1.40",NA,NA
"264","VCC-1308","E",8,5,8.922,NA,33.6,1.6,0.096,-16.59,0.2,"-18.252","0.80",NA,NA
"265","VCC-1311","E",20,6,NA,NA,NA,NA,0.052,-16,0.2,"NA","NA",NA,NA
"266","NGC4486","E",13000,800,11.98,9.77,375,18,0.074,-22.61,0.2,"-25.348","7.30",0.03,0.03
"267","NGC4489","E",31,9,9.533,NA,53.1,2,0.092,-19.03,0.2,"-21.580","1.30",NA,NA
"268","NGC4486A","E",11,12,9.795,7.15,111,5,0.065,-18.7,0.2,"-22.314","0.54",0.13,0.11
"269","VCC-1333","E",11,8,NA,NA,NA,NA,0.056,-14.9,0.2,"NA","NA",NA,NA
"270","IC3442","E",11,6,NA,NA,NA,NA,0.094,-17.51,0.2,"-16.847","3.07",NA,NA
"271","NGC4494","E",392,49,10.927,NA,150.2,3.7,0.071,-21.4,0.2,"-24.170","4.02",NA,NA
"272","VCC-1363","E",0,3,NA,NA,NA,NA,0.088,-12.67,0.2,"NA","0.39",NA,NA
"273","VCC-1386","E",27,7,8.848,NA,20.5,2.1,0.069,-17.34,0.2,"999999","1.80",NA,NA
"274","VCC-1386","E",26,12,NA,NA,NA,NA,0.069,-16.9,0.2,"NA","NA",NA,NA
"275","IC3461","E",50,9,8.845,NA,28.6,3.1,0.085,-16.72,0.2,"-18.717","0.92",NA,NA
"276","IC3468","E",25,6,9.221,NA,34.4,3.8,0.087,-17.97,0.2,"-20.436","1.51",NA,NA
"277","IC3470","E",61,9,NA,NA,NA,NA,0.148,-17.39,0.2,"-19.874","0.73",NA,NA
"278","IC798","E",27,7,NA,NA,NA,NA,0.074,-16.86,0.2,"-19.403","0.87",NA,NA
"279","NGC4517","S",270,60,NA,NA,NA,NA,0.079,-19.52,0.33,"-22.513","4.16",NA,NA
"280","NGC4515","S0",81,10,9.762,NA,86,2.9,0.085,-18.79,0.2,"-21.232","0.84",NA,NA
"281","IC3487","E",7,4,8.848,NA,28.9,1.4,0.058,-16.78,0.2,"-18.834","0.91",NA,NA
"282","IC3490","E",12,5,NA,NA,NA,NA,0.101,-15.61,0.2,"NA","1.12",NA,NA
"283","VCC-1497","E",6,5,NA,NA,NA,NA,0.071,-16.01,0.2,"NA","1.50",NA,NA
"284","IC3492","E",19,7,NA,NA,NA,NA,0.084,-16.53,0.2,"-18.126","0.54",NA,NA
"285","VCC-1512","S0",5,4,NA,NA,NA,NA,0.142,-16.25,0.2,"NA","0.81",NA,NA
"286","VCC-1514","E",2,3,9.626,NA,46,7,0.053,-16.57,0.2,"999999","2.15",NA,NA
"287","IC3501","E",41,8,NA,NA,NA,NA,0.076,-17.16,0.2,"-19.829","0.77",NA,NA
"288","VCC-1530","E",8,5,NA,NA,NA,NA,0.062,-13.37,0.2,"NA","NA",NA,NA
"289","NGC4526","S0",388,117,11.061,0,251.1,16.1,0.074,-21.51,0.22,"-24.674","1.96",8.48,0
"290","NGC4528","S0",31,7,10.001,NA,116.8,7.1,0.151,-19.08,0.2,"-22.040","0.79",NA,NA
"291","VCC-1539","E",31,7,NA,NA,NA,NA,0.087,-16.05,0.2,"NA","1.19",NA,NA
"292","IC3509","E",54,9,NA,NA,NA,NA,0.114,-16.91,0.2,"-19.157","0.88",NA,NA
"293","VCC-1577","E",15,6,8.765,NA,26,1.3,0.077,-15.89,0.2,"999999","0.93",NA,NA
"294","IC3540","S0",26,10,NA,NA,NA,NA,0.127,-17.1,0.2,"-19.668","0.66",NA,NA
"295","NGC4550","S0",84,19,10.088,NA,96.4,4.2,0.129,-19.39,0.2,"-22.265","1.42",NA,NA
"296","VCC-1627","E",4,4,NA,NA,NA,NA,0.107,-16.46,0.2,"-19.318","0.29",NA,NA
"297","NGC4551","E",47,11,10.12,NA,106.8,2.2,0.128,-19.15,0.2,"-22.187","1.24",NA,NA
"298","NGC4552","E",1100,200,11.342,8.68,252.5,3.3,0.136,-20.39,0.2,"-24.292","3.70",0.04,0.05
"299","NGC4565","S",204,60,11.1,NA,136,6.3,0.051,-21.68,0.27,"-25.156","7.32",NA,NA
"300","VCC-1661","E",10,5,NA,NA,NA,NA,0.055,-15.81,0.2,"NA","1.52",NA,NA
"301","NGC4564","E",213,31,10.638,7.92,162,8,0.116,-20,0.2,"-23.078","1.78",0.1,0.14
"302","NGC4570","S0",139,23,10.801,NA,187.9,8.5,0.073,-20.34,0.2,"-23.483","1.92",NA,NA
"303","IC3586","S0",14,6,NA,NA,NA,NA,0.123,-17.49,0.2,"-18.975","2.17",NA,NA
"304","NGC4589","E",1052,162,11.284,NA,224.1,5.3,0.093,-21.07,0.28,"-23.962","4.12",NA,NA
"305","VCC-1714","E",0,4,NA,NA,NA,NA,0.08,-13.2,0.2,"NA","NA",NA,NA
"306","NGC4578","S0",62,13,10.519,NA,120.3,9.6,0.07,-19.62,0.2,"-22.671","2.46",NA,NA
"307","IC3602","E",10,6,9.084,NA,27,11,0.055,-16.33,0.2,"-18.232","1.79",NA,NA
"308","IC3612","S0",2,4,NA,NA,NA,NA,0.078,-16.9,0.2,"-17.280","1.43",NA,NA
"309","NGC4605","S",22,7,NA,NA,NA,NA,0.039,-18.41,0.2,"-20.932","1.18",NA,NA
"310","NGC4594","S",1900,200,11.262,8.72,240,12,0.17,-22.12,0.2,"-25.006","3.41",0.3,0.57
"311","IC3633","E",4,4,8.443,NA,22.3,2.2,0.047,-16.03,0.2,"-17.562","0.60",NA,NA
"312","IC3635","S",20,6,NA,NA,NA,NA,0.101,-16.78,0.2,"-18.402","1.55",NA,NA
"313","VCC-1833","E",18,6,NA,NA,NA,NA,0.102,-17.13,0.2,"-19.779","0.69",NA,NA
"314","IC3651","S0",2700,780,10.565,NA,183,28.9,0.042,-21,0.2,"-23.850","1.18",NA,NA
"315","IC3647","Irr",11,6,NA,NA,NA,NA,0.071,-16.64,0.2,"NA","2.33",NA,NA
"316","IC3652","E",38,7,NA,NA,NA,NA,0.081,-17.6,0.2,"-19.995","1.64",NA,NA
"317","IC3653","E",10,5,9.088,NA,49,2.9,0.085,-17.31,0.2,"-20.383","0.55",NA,NA
"318","VCC-1876","E",26,7,8.964,NA,26.7,1.3,0.085,-16.8,0.2,"999999","1.39",NA,NA
"319","NGC4612","S0",83,25,9.924,NA,62.6,2.7,0.069,-21.12,0.2,"-22.537","2.30",NA,NA
"320","VCC-1886","E",4,3,NA,NA,NA,NA,0.086,-16.25,0.2,"NA","1.27",NA,NA
"321","VCC-1895","E",6,4,NA,NA,NA,NA,0.047,-16.6,0.2,"-18.701","1.16",NA,NA
"322","NGC4621","E",803,355,11.333,8.6,225.1,3.2,0.11,-21.34,0.2,"-24.125","4.57",0.06,0.07
"323","IC809","E",49,8,NA,NA,NA,NA,0.083,-17.39,0.2,"-20.429","1.97",NA,NA
"324","NGC4623","S0",71,14,10.169,NA,85.6,15.1,0.061,-19.94,0.2,"-21.732","2.16",NA,NA
"325","NGC4638","S0",60,9,10.374,NA,121.9,4,0.084,-20.1,0.2,"-23.003","1.71",NA,NA
"326","NGC4636","E",4200,120,11.411,0,203.1,3.5,0.092,-21.43,0.2,"-24.419","6.71",8.8,0
"327","VCC-1948","E",2,3,NA,NA,NA,NA,0.066,-16.06,0.2,"NA","NA",NA,NA
"328","NGC4649","E",4000,500,11.992,9.63,385,19,0.088,-22.41,0.2,"-25.434","7.12",0.09,0.11
"329","NGC4660","E",205,28,10.548,NA,188.5,3.4,0.109,-19.74,0.2,"-22.682","1.07",NA,NA
"330","IC3735","E",24,6,9.281,NA,37,7,0.06,-17.36,0.2,"-19.792","1.50",NA,NA
"331","NGC4673","E",750,290,NA,NA,231.7,5.2,0.04,-21.28,0.2,"-25.176","NA",NA,NA
"332","IC3773","E",17,5,9.678,NA,62.2,11.7,0.088,-17.85,0.2,"-19.870","1.32",NA,NA
"333","IC3779","E",9,4,9.306,NA,43,5,0.064,-16.36,0.2,"-18.191","1.18",NA,NA
"334","NGC4697","E",229,70,11.087,8.28,177,8,0.101,-21.27,0.2,"-24.042","4.19",0.08,0.1
"335","NGC4754","S0",110,12,10.864,NA,186.4,3.2,0.111,-20.53,0.2,"-23.625","2.26",NA,NA
"336","NGC4762","S0",240,25,11.323,NA,147.1,10.3,0.072,-21.7,0.24,"-24.599","10.44",NA,NA
"337","NGC4816","E",6100,1400,11.779,NA,244.5,8.1,0.03,-22.25,0.35,"-25.349","10.82",NA,NA
"338","A1644-1","E",17700,4600,NA,NA,NA,NA,0.194,-23.7,0.2,"-26.957","NA",NA,NA
"339","NGC4839","E",6500,2000,12.165,NA,284.8,4.7,0.032,-23.16,0.2,"-25.994","19.36",NA,NA
"340","NGC4840","E",1290,620,11.204,NA,238.1,6.1,0.032,-21.12,0.28,"-24.235","3.03",NA,NA
"341","IC3959","E",880,330,11.092,NA,208,4.5,0.035,-20.99,0.2,"-24.020","3.07",NA,NA
"342","PGC044560","E",2150,650,NA,NA,126,10.9,0.032,-20.88,0.2,"-23.084","NA",NA,NA
"343","IC3976","E",920,250,11.053,NA,252,7.9,0.031,-20.53,0.2,"-23.548","1.91",NA,NA
"344","NGC4874","E",20000,2000,12.067,NA,278.9,4.8,0.028,-23.48,0.26,"-26.278","16.12",NA,NA
"345","NGC4881","E",295,89,11.304,NA,199.6,3,0.036,-20.47,0.23,"-24.615","5.43",NA,NA
"346","NGC4886","E",1220,480,11.051,NA,163.2,2.6,0.031,-21.06,0.25,"-26.487","4.54",NA,NA
"347","IC4012","E",620,410,NA,NA,190.8,3.5,0.029,-20.41,0.2,"-23.573","NA",NA,NA
"348","NGC4889","E",11000,2000,12.354,10.32,400.8,5.6,0.032,-23.47,0.2,"-26.521","15.11",0.25,0.62
"349","IC4021","E",160,159,10.607,NA,171.9,5.8,0.029,-20.16,0.2,"-22.893","1.47",NA,NA
"350","IC4026","S0",650,190,10.903,NA,142.7,5.8,0.029,-21.01,0.2,"-23.861","4.22",NA,NA
"351","IC4041","E",470,160,10.999,NA,135.6,3.9,0.029,-20.86,0.2,"-23.452","5.83",NA,NA
"352","IC4045","E",1100,510,11.144,NA,217.1,3.9,0.031,-21.39,0.2,"-24.168","3.18",NA,NA
"353","IC4051","E",6700,530,11.851,NA,250.1,5.1,0.03,-21.26,0.2,"-25.150","12.19",NA,NA
"354","NGC4926","E",1300,300,11.702,NA,275.8,3.8,0.03,-22.36,0.25,"-25.443","7.11",NA,NA
"355","NGC4980","S",43,27,NA,NA,NA,NA,0.196,-19.9,0.2,"-21.148","1.95",NA,NA
"356","ESO-269-58","Irr",8,3,NA,NA,NA,NA,0.291,-15.78,0.2,"-17.305","0.66",NA,NA
"357","A1689-BCG","E",30000,20000,NA,NA,NA,NA,0.073,NA,NA,"NA","NA",NA,NA
"358","NGC5018","E",1000,300,11.199,NA,209.6,4.9,0.317,-22.34,0.4,"-25.094","3.87",NA,NA
"359","ESO-269-66","E",4,2,NA,NA,NA,NA,0.255,-13.89,0.2,"NA","0.72",NA,NA
"360","NGC5102","S0",7,6,9.81,NA,82,8,0.182,-18.14,0.2,"-20.689","1.03",NA,NA
"361","KKS-55","E",1,1,NA,NA,NA,NA,0.4,-11.17,0.2,"NA","NA",NA,NA
"362","NGC5128","E",1300,300,11.11,7.71,150,7,0.381,-21.26,0.2,"-23.998","6.15",0.13,0.19
"363","ESO-509-G008","E",6000,1500,11.972,NA,317.6,12.1,0.149,-23.35,0.2,"-26.096","10.00",NA,NA
"364","ESO-444-G046","E",32500,8000,12.248,NA,251.9,13.2,0.137,-23.8,0.2,"-27.080","30.00",NA,NA
"365","NGC5170","S",500,200,10.677,NA,90.2,10.1,0.264,-20.8,0.59,"-24.071","6.28",NA,NA
"366","NGC5194","S",220,45,10.598,0,96,8.7,0.115,-21.16,0.2,"-23.926","4.62",6.32,0
"367","NGC5193","E",5878,355,11.219,NA,205.7,6.2,0.186,-21.53,0.33,"-24.233","4.20",NA,NA
"368","IC4296","E",6400,300,12.014,9.13,322,16,0.169,-23.08,0.2,"-25.997","10.71",0.06,0.07
"369","NGC5236","S",43,12,NA,NA,NA,NA,0.218,-21,0.2,"-23.723","4.11",NA,NA
"370","NGC5237","Irr",3,2,NA,NA,NA,NA,0.263,-15.45,0.2,"-17.835","0.40",NA,NA
"371","UGC-8638","Irr",3,2,NA,NA,NA,NA,0.035,-13.69,0.2,"NA","0.56",NA,NA
"372","ESO-383-G076","E",22500,5500,12.726,NA,322.6,9.2,0.148,-24.1,0.2,"-26.842","55.00",NA,NA
"373","IC4329","E",2970,530,12.202,NA,296,6,0.168,-23.09,0.35,"-26.148","19.53",NA,NA
"374","NGC5322","E",1600,500,11.406,NA,232,4.5,0.047,-22.29,0.28,"-25.315","5.09",NA,NA
"375","NGC5457","S",150,40,10.757,NA,73.1,23.8,0.028,-21.36,0.22,"-23.682","11.50",NA,NA
"376","NGC5557","E",3500,1000,11.528,NA,253,9.4,0.019,-21.96,0.5,"-24.873","5.67",NA,NA
"377","ESO-223-09","Irr",8,3,NA,NA,NA,NA,0.714,-16.47,0.2,"-16.111","1.98",NA,NA
"378","NGC5813","E",2900,400,11.667,8.84,236.5,3.4,0.189,-22.27,0.23,"-25.147","8.93",0.07,0.07
"379","NGC5845","E",180,30,NA,8.69,234,11,0.177,-19.77,0.26,"-22.977","NA",0.12,0.16
"380","NGC5846","E",4670,1195,11.605,9.04,239.3,4.3,0.182,-22.12,0.25,"-25.065","7.56",0.07,0.09
"381","NGC5866","S0",370,70,10.85,NA,159,9.8,0.044,-21.08,0.2,"-24.062","3.01",NA,NA
"382","ESO-274-01","S",10,3,NA,NA,NA,NA,0.704,-17.47,0.2,"-19.169","1.68",NA,NA
"383","NGC5907","S",170,65,NA,NA,NA,NA,0.035,-20.3,0.55,"-23.853","7.83",NA,NA
"384","UGC-9799","E",18000,4500,11.155,0,215.8,11.6,0.101,-23.1,0.2,"-26.358","3.30",9.69,0
"385","NGC5982","E",1497,202,11.406,NA,238.9,4.9,0.059,-22.02,0.2,"-24.944","4.79",NA,NA
"386","UGC-9958","E",27000,13000,12.478,NA,295.2,14.3,0.159,-23.3,0.4,"-26.393","37.10",NA,NA
"387","A2124-1","E",17900,4700,11.887,NA,303.5,15,0.068,-23.5,0.2,"-26.692","9.00",NA,NA
"388","A2147-1","E",13100,3300,12.224,NA,277.7,16.5,0.086,-23.08,0.2,"-25.706","23.36",NA,NA
"389","UGC-10143","E",14000,3500,12.225,NA,277.7,16.5,0.086,-23,0.2,"NA","23.40",NA,NA
"390","NGC6041A","S0",19800,4900,NA,NA,NA,NA,0.119,-22,0.3,"-25.949","NA",NA,NA
"391","NGC6039","E",5030,300,11.67,NA,202,11.6,0.143,-22.08,0.24,"-25.266","12.32",NA,NA
"392","A2152-2","S0",5100,340,NA,NA,NA,NA,0.11,-21.42,0.2,"-24.785","NA",NA,NA
"393","A2152-1","E",7800,2060,11.306,NA,304.2,25.8,0.11,-22.6,0.2,"-25.716","2.35",NA,NA
"394","NGC6086","E",9200,2500,12.228,9.56,334.4,9.5,0.124,-23.04,0.22,"-25.729","16.23",0.16,0.16
"395","ESO-137-18","S",7,3,NA,NA,NA,NA,0.667,-17.91,0.5,"-18.551","1.02",NA,NA
"396","NGC6160","E",4560,1080,NA,NA,251.2,10.6,0.016,-22.77,1,"-25.897","NA",NA,NA
"397","NGC6166","E",17000,4000,12.424,NA,308.2,6.9,0.038,-23.7,0.27,"-26.412","30.06",NA,NA
"398","NGC6173","E",4600,2600,12.069,NA,277.8,13.2,0.024,-23.41,0.28,"-26.137","16.31",NA,NA
"399","NGC6384","S",60,13,11.282,NA,128.3,8.7,0.409,-22.06,0.42,"-24.586","12.49",NA,NA
"400","NGC6397-GAL1","E",1600,600,NA,NA,NA,NA,0.5,-20.5,1,"NA","NA",NA,NA
"401","NGC6482","E",1140,87,NA,NA,309.8,11.7,0.328,-22.63,0.2,"-25.371","NA",NA,NA
"402","NGC6703","E",610,200,10.931,NA,178.5,3.8,0.294,-21.1,0.44,"-23.913","2.88",NA,NA
"403","Sagittarius-dE","E",6,2,NA,NA,NA,NA,0.16,-13.9,0.5,"NA","NA",NA,NA
"404","NGC6822","Irr",7,1,NA,NA,NA,NA,0.659,-15.5,0.3,"-16.927","NA",NA,NA
"405","ESO-185-IG013","S",20,10,NA,NA,NA,NA,0.149,-19.84,0.36,"-21.607","NA",NA,NA
"406","KK-246","Irr",2,2,NA,NA,NA,NA,0.812,-13.77,0.2,"NA","NA",NA,NA
"407","NGC6861","E",1860,600,11.624,0,414,20,0.18,-21.31,0.53,"-24.551","2.64",9.15,0
"408","NGC6946","S",90,40,NA,NA,NA,NA,1.133,-21.24,0.33,"-23.673","5.33",NA,NA
"409","NGC7014","E",1634,88,11.652,NA,294.5,9.1,0.109,-21.19,0.2,"-24.332","5.57",NA,NA
"410","NGC7049","S0",2700,800,11.417,NA,246.5,3.9,0.18,-21.89,0.27,"-25.153","4.62",NA,NA
"411","NGC7173","E",400,30,11.245,NA,203.9,4.8,0.088,-20.54,0.33,"-23.532","4.54",NA,NA
"412","IC5176","S",132,25,NA,NA,NA,NA,0.085,-20.63,0.2,"-23.126","2.22",NA,NA
"413","NGC7331","S",210,130,11.037,0,137.2,3.5,0.301,-21.71,0.2,"-24.895","6.22",8.2,0
"414","NGC7332","S0",175,15,10.376,7.11,124.9,3.3,0.124,-20.83,0.25,"-23.811","1.64",0.17,0.21
"415","NGC7339","S",75,10,NA,NA,NA,NA,0.123,-20.39,0.25,"-23.269","NA",NA,NA
"416","IC1459","E",2100,730,11.635,9.45,306.1,7.8,0.043,-22.04,0.2,"-25.530","4.95",0.14,0.25
"417","NGC7457","S0",160,50,9.935,7,67,3,0.172,-19.58,0.25,"-22.436","2.06",0.2,0.4
"418","NGC7626","E",2833,300,11.784,0,271.3,4.4,0.24,-22.51,0.2,"-25.374","8.89",8.91,0
"419","NGC7720","E",18000,4600,12.347,NA,359.1,10.7,0.228,-23.35,0.35,"-26.225","18.53",NA,NA
"420","NGC7727","S",850,320,11.427,NA,196.1,15.6,0.093,-21.25,0.2,"-23.933","7.46",NA,NA
"421","NGC7768","E",3000,1300,12.142,9.11,312.8,15.4,0.128,-23.07,0.2,"-25.927","15.22",0.14,0.16
"422","NGC7793","S",17,5,NA,NA,NA,NA,0.053,-19.35,0.2,"-21.072","2.16",NA,NA
